Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
S09_ComplexSearch_T001e_Login_GetCredentialType,1,492,492,492,492,492,492,492,0.000%,2.03252,4.20,7.54
S06_Company_T001e_Login_GetCredentialType,1,531,531,531,531,531,531,531,0.000%,1.88324,3.89,7.00
S05_Organization_T001e_Login_GetCredentialType,1,417,417,417,417,417,417,417,0.000%,2.39808,4.95,8.91
S03_Drugs_T001d_Login_authorize_1,1,542,542,542,542,542,542,542,0.000%,1.84502,92.05,2.56
S08_AgeingReport_T001e_Login_GetCredentialType,1,511,511,511,511,511,511,511,0.000%,1.95695,4.04,7.26
S02_AncillaryData_T001e_Login_GetCredentialType,1,505,505,505,505,505,505,505,0.000%,1.98020,4.09,7.34
S04_Person_T001f_Login_login,1,415,415,415,415,415,415,415,0.000%,2.40964,95.74,8.60
S01_ClinicalTrials_T001d_Login_authorize_1,1,1387,1387,1387,1387,1387,1387,1387,0.000%,.72098,35.99,1.00
S06_Company_T001f_Login_login,1,396,396,396,396,396,396,396,0.000%,2.52525,100.28,9.02
S09_ComplexSearch_T001f_Login_login,1,475,475,475,475,475,475,475,0.000%,2.10526,83.61,7.51
S07_Administrator_T001d_Login_authorize_1,1,1231,1231,1231,1231,1231,1231,1231,0.000%,.81235,40.54,1.13
S08_AgeingReport_T001f_Login_login,1,505,505,505,505,505,505,505,0.000%,1.98020,78.66,7.07
S03_Drugs_T001e_Login_GetCredentialType,1,543,543,543,543,543,543,543,0.000%,1.84162,3.80,6.82
S02_AncillaryData_T001f_Login_login,1,480,480,480,480,480,480,480,0.000%,2.08333,82.73,7.43
S04_Person_T001g_Login_kmsi,1,311,311,311,311,311,311,311,0.000%,3.21543,119.99,10.75
S05_Organization_T001f_Login_login,1,676,676,676,676,676,676,676,0.000%,1.47929,58.74,5.29
S06_Company_T001g_Login_kmsi,1,319,319,319,319,319,319,319,0.000%,3.13480,116.87,10.51
S09_ComplexSearch_T001g_Login_kmsi,1,274,274,274,274,274,274,274,0.000%,3.64964,136.07,12.22
S01_ClinicalTrials_T001e_Login_GetCredentialType,1,416,416,416,416,416,416,416,0.000%,2.40385,4.96,8.93
S02_AncillaryData_T001g_Login_kmsi,1,275,275,275,275,275,275,275,0.000%,3.63636,135.57,12.18
S04_Person_T001h_Login_authorize_2,1,432,432,432,432,432,432,432,0.000%,2.31481,18.67,7.94
S04_Person_T001h_Login_authorize_2-0,1,425,425,425,425,425,425,425,0.000%,2.35294,16.55,6.90
S04_Person_T001h_Login_authorize_2-1,1,3,3,3,3,3,3,3,0.000%,333.33333,343.10,165.04
S05_Organization_T001g_Login_kmsi,1,402,402,402,402,402,402,402,0.000%,2.48756,92.72,8.33
S08_AgeingReport_T001g_Login_kmsi,1,522,522,522,522,522,522,522,0.000%,1.91571,71.41,6.40
S03_Drugs_T001f_Login_login,1,549,549,549,549,549,549,549,0.000%,1.82149,72.35,6.48
S09_ComplexSearch_T001h_Login_authorize_2,1,535,535,535,535,535,535,535,0.000%,1.86916,15.07,6.42
S09_ComplexSearch_T001h_Login_authorize_2-0,1,530,530,530,530,530,530,530,0.000%,1.88679,13.27,5.55
S09_ComplexSearch_T001h_Login_authorize_2-1,1,3,3,3,3,3,3,3,0.000%,333.33333,343.10,165.04
S02_AncillaryData_T001h_Login_authorize_2,1,402,402,402,402,402,402,402,0.000%,2.48756,20.06,8.54
S02_AncillaryData_T001h_Login_authorize_2-0,1,398,398,398,398,398,398,398,0.000%,2.51256,17.67,7.39
S02_AncillaryData_T001h_Login_authorize_2-1,1,3,3,3,3,3,3,3,0.000%,333.33333,343.10,165.04
S01_ClinicalTrials_T001f_Login_login,1,656,656,656,656,656,656,656,0.000%,1.52439,60.53,5.44
S06_Company_T001h_Login_authorize_2,1,747,747,747,747,747,747,747,0.000%,1.33869,10.80,4.60
S06_Company_T001h_Login_authorize_2-0,1,743,743,743,743,743,743,743,0.000%,1.34590,9.47,3.96
S06_Company_T001h_Login_authorize_2-1,1,3,3,3,3,3,3,3,0.000%,333.33333,343.10,165.04
S03_Drugs_T001g_Login_kmsi,1,326,326,326,326,326,326,326,0.000%,3.06748,114.33,10.27
S05_Organization_T001h_Login_authorize_2,1,406,406,406,406,406,406,406,0.000%,2.46305,19.88,8.45
S05_Organization_T001h_Login_authorize_2-0,1,402,402,402,402,402,402,402,0.000%,2.48756,17.51,7.30
S05_Organization_T001h_Login_authorize_2-1,1,2,2,2,2,2,2,2,0.000%,500.00000,514.65,247.56
S07_Administrator_T001e_Login_GetCredentialType,1,985,985,985,985,985,985,985,0.000%,1.01523,2.10,3.77
S08_AgeingReport_T001h_Login_authorize_2,1,428,428,428,428,428,428,428,0.000%,2.33645,18.84,8.01
S08_AgeingReport_T001h_Login_authorize_2-0,1,410,410,410,410,410,410,410,0.000%,2.43902,17.16,7.15
S08_AgeingReport_T001h_Login_authorize_2-1,1,7,7,7,7,7,7,7,0.000%,142.85714,147.04,70.73
S04_Person_T001i_Login_authorize_3,1,557,557,557,557,557,557,557,0.000%,1.79533,17.33,6.93
S04_Person_T001i_Login_authorize_3-0,1,491,491,491,491,491,491,491,0.000%,2.03666,14.29,6.87
S04_Person_T001i_Login_authorize_3-1,1,65,65,65,65,65,65,65,0.000%,15.38462,40.56,7.51
S04_Person_T001z_Login,1,4408,4408,4408,4408,4408,4408,4408,0.000%,.22686,34.92,4.79
S09_ComplexSearch_T001i_Login_authorize_3,1,441,441,441,441,441,441,441,0.000%,2.26757,21.90,8.76
S09_ComplexSearch_T001i_Login_authorize_3-0,1,436,436,436,436,436,436,436,0.000%,2.29358,16.11,7.74
S09_ComplexSearch_T001i_Login_authorize_3-1,1,4,4,4,4,4,4,4,0.000%,250.00000,658.94,122.07
S02_AncillaryData_T001i_Login_authorize_3,1,429,429,429,429,429,429,429,0.000%,2.33100,22.51,9.00
S02_AncillaryData_T001i_Login_authorize_3-0,1,422,422,422,422,422,422,422,0.000%,2.36967,16.64,7.99
S02_AncillaryData_T001i_Login_authorize_3-1,1,6,6,6,6,6,6,6,0.000%,166.66667,439.29,81.38
S02_AncillaryData_T001z_Login,1,4495,4495,4495,4495,4495,4495,4495,0.000%,.22247,34.23,4.70
S09_ComplexSearch_T001z_Login,1,4477,4477,4477,4477,4477,4477,4477,0.000%,.22336,34.37,4.72
S03_Drugs_T001h_Login_authorize_2,1,414,414,414,414,414,414,414,0.000%,2.41546,19.48,8.30
S03_Drugs_T001h_Login_authorize_2-0,1,410,410,410,410,410,410,410,0.000%,2.43902,17.16,7.17
S03_Drugs_T001h_Login_authorize_2-1,1,3,3,3,3,3,3,3,0.000%,333.33333,343.10,165.04
S08_AgeingReport_T001i_Login_authorize_3,1,373,373,373,373,373,373,373,0.000%,2.68097,25.89,10.34
S08_AgeingReport_T001i_Login_authorize_3-0,1,367,367,367,367,367,367,367,0.000%,2.72480,19.13,9.18
S08_AgeingReport_T001i_Login_authorize_3-1,1,4,4,4,4,4,4,4,0.000%,250.00000,658.94,122.07
S08_AgeingReport_T001z_Login,1,4707,4707,4707,4707,4707,4707,4707,0.000%,.21245,32.69,4.49
S05_Organization_T001i_Login_authorize_3,1,424,424,424,424,424,424,424,0.000%,2.35849,22.83,9.11
S05_Organization_T001i_Login_authorize_3-0,1,420,420,420,420,420,420,420,0.000%,2.38095,16.73,8.04
S05_Organization_T001i_Login_authorize_3-1,1,2,2,2,2,2,2,2,0.000%,500.00000,1326.17,244.14
S05_Organization_T001z_Login,1,4693,4693,4693,4693,4693,4693,4693,0.000%,.21308,32.80,4.50
S09_ComplexSearch_T002z_ClinicalTrials_Ids_500Plus,9,287,276,327,472,472,223,472,0.000%,.01632,0.87,1.35
S07_Administrator_T001f_Login_login,1,596,596,596,596,596,596,596,0.000%,1.67785,66.66,5.98
S01_ClinicalTrials_T001g_Login_kmsi,1,771,771,771,771,771,771,771,0.000%,1.29702,48.40,4.34
S03_Drugs_T001i_Login_authorize_3,1,436,436,436,436,436,436,436,0.000%,2.29358,22.19,8.86
S03_Drugs_T001i_Login_authorize_3-0,1,433,433,433,433,433,433,433,0.000%,2.30947,16.22,7.79
S03_Drugs_T001i_Login_authorize_3-1,1,2,2,2,2,2,2,2,0.000%,500.00000,1326.17,244.14
S03_Drugs_T001z_Login,1,5120,5120,5120,5120,5120,5120,5120,0.000%,.19531,30.06,4.12
S06_Company_T001i_Login_authorize_3,1,914,914,914,914,914,914,914,0.000%,1.09409,10.58,4.23
S06_Company_T001i_Login_authorize_3-0,1,909,909,909,909,909,909,909,0.000%,1.10011,7.73,3.71
S06_Company_T001i_Login_authorize_3-1,1,4,4,4,4,4,4,4,0.000%,250.00000,660.89,122.07
S06_Company_T001z_Login,1,5154,5154,5154,5154,5154,5154,5154,0.000%,.19402,29.86,4.10
S07_Administrator_T001g_Login_kmsi,1,416,416,416,416,416,416,416,0.000%,2.40385,89.64,8.05
S01_ClinicalTrials_T001h_Login_authorize_2,1,418,418,418,418,418,418,418,0.000%,2.39234,19.31,8.22
S01_ClinicalTrials_T001h_Login_authorize_2-0,1,415,415,415,415,415,415,415,0.000%,2.40964,16.97,7.09
S01_ClinicalTrials_T001h_Login_authorize_2-1,1,2,2,2,2,2,2,2,0.000%,500.00000,514.65,247.56
S08_AgeingReport_T002z_api_AgeingStatisticsReport,8,289,202,242,1000,1000,133,1000,0.000%,.01508,5.23,0.03
S07_Administrator_T001h_Login_authorize_2,1,455,455,455,455,455,455,455,0.000%,2.19780,17.73,7.55
S07_Administrator_T001h_Login_authorize_2-0,1,450,450,450,450,450,450,450,0.000%,2.22222,15.64,6.54
S07_Administrator_T001h_Login_authorize_2-1,1,4,4,4,4,4,4,4,0.000%,250.00000,257.32,123.78
S01_ClinicalTrials_T001i_Login_authorize_3,1,417,417,417,417,417,417,417,0.000%,2.39808,23.19,9.27
S01_ClinicalTrials_T001i_Login_authorize_3-0,1,412,412,412,412,412,412,412,0.000%,2.42718,17.05,8.19
S01_ClinicalTrials_T001i_Login_authorize_3-1,1,4,4,4,4,4,4,4,0.000%,250.00000,660.89,122.07
S01_ClinicalTrials_T001z_Login,1,5796,5796,5796,5796,5796,5796,5796,0.000%,.17253,26.56,3.65
S07_Administrator_T001i_Login_authorize_3,1,381,381,381,381,381,381,381,0.000%,2.62467,25.38,10.14
S07_Administrator_T001i_Login_authorize_3-0,1,377,377,377,377,377,377,377,0.000%,2.65252,18.64,8.95
S07_Administrator_T001i_Login_authorize_3-1,1,3,3,3,3,3,3,3,0.000%,333.33333,881.18,162.76
S07_Administrator_T001z_Login,1,6139,6139,6139,6139,6139,6139,6139,0.000%,.16289,25.07,3.44
S07_Administrator_T002a_authorization_user,11,25,20,32,32,59,18,59,0.000%,.01972,0.12,0.04
S07_Administrator_T002b_DataSourceGroup,11,7,7,8,8,12,6,12,0.000%,.01972,0.03,0.04
S07_Administrator_T002z_AdminTab,11,32,29,38,38,66,25,66,0.000%,.01972,0.15,0.08
S07_Administrator_T003z_DataSource,11,9,9,12,12,13,7,13,0.000%,.01972,0.02,0.04
S02_AncillaryData_T002z_AncillaryDataTab_armType,36,34,9,37,49,720,6,720,0.000%,.06162,0.04,0.12
S05_Organization_T002a_Tasks_GetMasterData,9,26,22,30,55,55,18,55,0.000%,.01616,0.02,0.03
S05_Organization_T002b_Search,9,9,9,12,14,14,7,14,0.000%,.01616,0.08,0.03
S05_Organization_T002c_UserGroup_GetUsersAndUserGroupByQueueId,9,8,9,10,11,11,7,11,0.000%,.01616,0.01,0.03
S05_Organization_T002d_OrganizationAdvanceSearch_Advancesearchcategory,9,12,7,18,37,37,6,37,0.000%,.01616,0.06,0.03
S05_Organization_T002e_OrganizationAdvanceSearch_advanceSearch,9,105,97,131,138,138,81,138,0.000%,.01616,0.56,0.04
S05_Organization_T002z_OrganizationTab,9,162,154,178,249,249,126,249,0.000%,.01616,0.73,0.17
S04_Person_T002a_PersonAdvanceSearch_advanceSearch,10,435,418,476,476,595,384,595,0.000%,.01874,0.62,0.04
S04_Person_T002b_Search,10,15,11,26,26,34,10,34,0.000%,.01876,0.12,0.04
S04_Person_T002c_PersonAdvanceSearch_Advancesearchcategory,10,7,7,8,8,9,6,9,0.000%,.01876,0.11,0.04
S04_Person_T002d_Tasks_GetMasterData,10,7,6,10,10,11,5,11,0.000%,.01876,0.02,0.04
S04_Person_T002e_UserGroup_GetUsersAndUserGroupByQueueId,10,8,9,10,10,10,7,10,0.000%,.01876,0.01,0.04
S04_Person_T002z_PersonTab,10,473,453,509,509,654,417,654,0.000%,.01873,0.88,0.20
S03_Drugs_T002a_Tasks_GetMasterData,4,25,19,36,36,36,19,36,0.000%,.00844,0.01,0.02
S03_Drugs_T002b_DrugsAdvanceSearch_advancedsearchcategory,4,23,8,70,70,70,7,70,0.000%,.00844,0.07,0.02
S03_Drugs_T002c_UserGroup_GetUsersAndUserGroupByQueueId,4,9,9,10,10,10,8,10,0.000%,.00844,0.01,0.02
S03_Drugs_T002d_Drug_DrugTypes,4,5,6,7,7,7,4,7,0.000%,.00844,0.01,0.02
S03_Drugs_T002e_Search,4,10,10,12,12,12,9,12,0.000%,.00844,0.08,0.02
S06_Company_T002z_AncillaryDataTab_armType,9,116,23,32,854,854,20,854,0.000%,.01539,0.01,0.03
S01_ClinicalTrials_T002b_authorization_user,8,28,23,41,45,45,19,45,0.000%,.01473,0.09,0.03
S01_ClinicalTrials_T002c_Search,8,10,9,12,14,14,7,14,0.000%,.01473,0.11,0.03
S01_ClinicalTrials_T002d_ClinicalTrialAdvanceSearch_advancedsearchcategory,8,10,7,8,34,34,6,34,0.000%,.01473,0.11,0.03
S01_ClinicalTrials_T002e_UserGroup_GetUsersAndUserGroupByQueueId,8,11,10,11,28,28,8,28,0.000%,.01473,0.01,0.03
S01_ClinicalTrials_T002f_Tasks_GetMasterData,8,7,6,11,12,12,5,12,0.000%,.01473,0.01,0.03
S01_ClinicalTrials_T002g_ClinicalTrialAdvanceSearch_advanceSearch,8,253,238,291,315,315,204,315,0.000%,.01472,0.80,0.03
S01_ClinicalTrials_T002z_ClinicalTrialsTab,8,321,305,375,391,391,269,391,0.000%,.01472,1.14,0.18
S03_Drugs_T002f_DrugsAdvanceSearch_advanceSearch,4,1961,1880,2143,2143,2143,1851,2143,0.000%,.00841,0.43,0.02
S03_Drugs_T002z_DrugsTab,4,2035,1973,2196,2196,2196,1949,2196,0.000%,.00840,0.59,0.11
S02_AncillaryData_T003a_indicationGroup,36,10,8,17,20,45,6,45,0.000%,.06162,0.19,0.13
S02_AncillaryData_T003b_indication_quickSearch,36,20,18,23,25,61,15,61,0.000%,.06162,3.03,0.13
S02_AncillaryData_T003c_ClinicalTrialAdvanceSearch_advanceSearch,36,236,225,267,322,357,198,357,0.000%,.06160,3.35,0.14
S02_AncillaryData_T003z_DrugDisease,36,266,254,306,352,387,226,387,0.000%,.06159,6.58,0.39
S05_Organization_T003b_authorization_user,9,24,25,27,27,27,21,27,0.000%,.01616,0.10,0.03
S05_Organization_T003c_Organization_masterdata,9,9,8,9,21,21,6,21,0.000%,.01616,0.02,0.03
S05_Organization_T003z_NewOrganization,9,33,33,36,46,46,28,46,0.000%,.01616,0.12,0.07
S04_Person_T003b_authorization_user,10,27,23,43,43,46,19,46,0.000%,.01876,0.12,0.04
S04_Person_T003c_person_masterdata,10,121,14,37,37,1054,12,1054,0.000%,.01872,0.35,0.04
S04_Person_T003z_CreateNewPerson,10,149,39,80,80,1080,32,1080,0.000%,.01872,0.46,0.08
S07_Administrator_T004z_UserRoles&Permission_UserCompany,11,17,12,31,31,57,10,57,0.000%,.01969,0.02,0.04
S06_Company_T003a_researchFocus,9,74,8,23,574,574,6,574,0.000%,.01539,0.03,0.03
S06_Company_T003b_ancillary_company_quickSearch,9,85,87,101,130,130,57,130,0.000%,.01539,0.44,0.03
S06_Company_T003z_CompanySection,9,160,95,123,704,704,68,704,0.000%,.01539,0.47,0.06
S01_ClinicalTrials_T003b_authorization_user,8,27,26,27,53,53,18,53,0.000%,.01473,0.09,0.03
S01_ClinicalTrials_T003c_ClinicalTrial_Masters,8,28,28,31,39,39,21,39,0.000%,.01473,0.71,0.03
S01_ClinicalTrials_T003z_NewClinicalTrial,8,55,52,60,83,83,40,83,0.000%,.01473,0.80,0.06
S03_Drugs_T003z_NewPharmaproject Drug,4,8,6,11,11,11,5,11,0.000%,.00844,0.04,0.02
S02_AncillaryData_T004a_indication,36,387,320,593,797,916,238,916,0.000%,.06158,0.05,0.16
S02_AncillaryData_T004b_indication_quickSearch,36,26,20,31,32,203,16,203,0.000%,.06161,3.03,0.14
S02_AncillaryData_T004z_Fill_Mandatory_Fields&Add,36,414,341,611,813,954,255,954,0.000%,.06158,3.08,0.30
S04_Person_T004z_Specialties_keywordsearch,10,11,9,15,15,29,6,29,0.000%,.01872,0.02,0.04
S04_Person_T005z_Degree_keywordsearch,10,10,8,14,14,21,6,21,0.000%,.01872,0.02,0.04
S06_Company_T004z_Country_keywordsearch,9,9,9,10,10,10,8,10,0.000%,.01539,0.02,0.03
S06_Company_T005a_ancillary_company,9,80,74,89,118,118,70,118,0.000%,.01539,0.01,0.03
S04_Person_T006z_Organization_keywordsearch,10,428,367,492,492,805,328,805,0.000%,.01871,0.32,0.04
S04_Person_T007z_Save_Basic&Contact_Info,10,73,63,91,91,148,50,148,0.000%,.01872,0.08,0.07
S05_Organization_T004z_Organization_keywordsearch,9,442,346,365,1262,1262,319,1262,0.000%,.01615,0.05,0.04
S06_Company_T005b_ancillary_company_quickSearch,9,161,76,109,808,808,65,808,0.000%,.01539,0.44,0.03
S06_Company_T005z_AddCompany,9,242,157,186,926,926,139,926,0.000%,.01539,0.46,0.07
S01_ClinicalTrials_T004z_diseaseType_keywordsearch,8,12,8,22,27,27,7,27,0.000%,.01473,0.20,0.03
S01_ClinicalTrials_T005z_patientSegment_keywordsearch,8,13,10,17,21,21,8,21,0.000%,.01473,0.04,0.03
S01_ClinicalTrials_T006z_Drug_DrugPrimaryName,8,133,121,149,209,209,93,209,0.000%,.01473,0.44,0.03
S05_Organization_T005z_Save_Basic&Additional_Info,9,212,210,230,256,256,191,256,0.000%,.01619,0.02,0.04
S01_ClinicalTrials_T007z_sponsor_keywordsearch,8,90,86,109,110,110,70,110,0.000%,.01473,0.23,0.03
S01_ClinicalTrials_T008z_collaborator_keywordsearch,8,101,22,59,607,607,20,607,0.000%,.01473,0.01,0.03
S01_ClinicalTrials_T009z_associatedCRO_keywordsearch,8,7,7,9,10,10,5,10,0.000%,.01473,0.01,0.03
S01_ClinicalTrials_T010z_tag_keywordsearch,8,7,7,8,11,11,6,11,0.000%,.01473,0.05,0.03
S01_ClinicalTrials_T011z_LocationCountry_keywordsearch,8,11,9,13,21,21,8,21,0.000%,.01473,0.01,0.03
S07_Administrator_T005z_UserRoles&Permission_UserGroups,11,12,9,25,25,31,8,31,0.000%,.01970,0.01,0.04
S02_AncillaryData_T005a_indication,35,337,278,423,594,1144,234,1144,0.000%,.06165,0.06,0.17
S02_AncillaryData_T005b_indication_quickSearch,35,22,21,27,28,60,16,60,0.000%,.06168,3.04,0.14
S02_AncillaryData_T005z_Fill_All_Fields&Add,35,359,298,442,612,1161,261,1161,0.000%,.06165,3.09,0.30
S04_Person_T008z_Save_RegulatoryAction,10,176,94,155,155,863,72,863,0.000%,.01872,0.09,0.05
S06_Company_T006a_api_company_companyId,8,12,13,14,15,15,10,15,0.000%,.01563,0.02,0.03
S06_Company_T006b_Company_lockdata,8,21,21,24,25,25,16,25,0.000%,.01563,0.01,0.03
S06_Company_T006c_company_masterdata,8,6,6,7,8,8,5,8,0.000%,.01563,0.04,0.03
S06_Company_T006z_OpenCompany,8,40,42,43,44,44,31,44,0.000%,.01563,0.06,0.10
S05_Organization_T006z_Country_keywordsearch,9,10,10,12,13,13,8,13,0.000%,.01619,0.02,0.03
S05_Organization_T007z_State_keywordsearch,9,9,9,11,18,18,7,18,0.000%,.01619,0.04,0.04
S05_Organization_T008z_City_keywordsearch,9,13,12,16,18,18,12,18,0.000%,.01619,0.02,0.04
S01_ClinicalTrials_T012z_Save_TrialSummary,8,141,128,151,224,224,111,224,0.000%,.01473,0.05,0.06
S03_Drugs_T004z_CheckPrimaryNameExists,4,292,289,303,303,303,287,303,0.000%,.00843,0.00,0.02
S05_Organization_T009z_validateaddress,9,931,903,1004,1175,1175,830,1175,0.000%,.01617,1.08,0.04
S03_Drugs_T005z_Save_DrugName,4,115,111,127,127,127,102,127,0.000%,.00844,0.02,0.02
S02_AncillaryData_T006a_indication,35,355,295,519,563,684,250,684,0.000%,.06161,0.06,0.18
S02_AncillaryData_T006b_indication_quickSearch,35,21,19,28,33,49,15,49,0.000%,.06165,3.04,0.13
S02_AncillaryData_T006z_Edit&Save,35,377,329,542,582,704,268,704,0.000%,.06160,3.09,0.31
S04_Person_T009z_Associations_Associated_Trials,10,26,13,62,62,71,12,71,0.000%,.01873,0.01,0.04
S09_ComplexSearch_T003z_ClinicalTrials_Title10,9,16479,16464,16576,16641,16641,16348,16641,0.000%,.01585,0.86,0.07
S06_Company_T007z_State_keywordsearch,8,9,9,11,11,11,8,11,0.000%,.01563,0.04,0.03
S06_Company_T008z_Save_Basic&Contact_Info,8,54,48,58,82,82,44,82,0.000%,.01563,0.03,0.05
S07_Administrator_T006a_UserGroup,11,12,8,21,21,35,8,35,0.000%,.01969,0.01,0.04
S03_Drugs_T006z_DrugSummaryTab,4,6,6,7,7,7,6,7,0.000%,.00844,0.03,0.02
S05_Organization_T010z_State_Country_Id,9,12,10,14,22,22,9,22,0.000%,.01620,0.65,0.03
S05_Organization_T011z_Save_Address,9,454,303,424,1501,1501,275,1501,0.000%,.01619,2.73,0.07
S07_Administrator_T006b_User_UserRole_true,11,952,863,1156,1156,1185,765,1185,0.000%,.01966,2.76,0.04
S07_Administrator_T006z_UserRoles&Permission_Users,11,965,871,1164,1164,1193,786,1193,0.000%,.01966,2.77,0.08
S01_ClinicalTrials_T013z_Save_TrialObjective,8,417,286,463,1203,1203,240,1203,0.000%,.01473,0.06,0.04
S09_ComplexSearch_T004z_ClinicalTrials_DiseaseType_10,9,2753,2740,2814,2941,2941,2667,2941,0.000%,.01625,1.14,0.07
S04_Person_T010z_Associations_Associated_Organization,10,103,23,51,51,840,7,840,0.000%,.01873,0.01,0.04
S06_Company_T009z_Save_Additional_Info,8,77,58,69,220,220,48,220,0.000%,.01563,0.03,0.04
S03_Drugs_T007z_Save_DrugSummary,4,172,177,189,189,189,140,189,0.000%,.00844,0.02,0.03
S05_Organization_T012z_CurrentAssociatedPeople,9,30,23,38,71,71,20,71,0.000%,.01620,0.01,0.04
S01_ClinicalTrials_T014z_Save_TrialOutcome,8,492,339,572,1275,1275,283,1275,0.000%,.01475,0.06,0.04
S04_Person_T011z_SaveNotes,10,353,92,1039,1039,1671,79,1671,0.000%,.01873,0.09,0.04
S06_Company_T010z_AssociationsTab,8,99,25,125,514,514,21,514,0.000%,.01563,0.01,0.03
S07_Administrator_T007a_Role_GetPermissionGroup,11,13,10,24,24,36,8,36,0.000%,.01972,0.09,0.04
S07_Administrator_T007b_Role,11,13,13,17,17,18,10,18,0.000%,.01972,0.03,0.04
S07_Administrator_T007z_UserRoles&Permission_RolesAndPermission,11,27,23,40,40,49,20,49,0.000%,.01972,0.12,0.08
S03_Drugs_T008z_DrugProgramLandscapeStatusTab,4,7,7,9,9,9,7,9,0.000%,.00844,0.03,0.02
S05_Organization_T013z_OngoingAssociatedTrials,9,9,8,9,21,21,7,21,0.000%,.01620,0.01,0.04
S01_ClinicalTrials_T015z_Save_TrialTiming,8,293,264,344,383,383,235,383,0.000%,.01475,0.06,0.04
S09_ComplexSearch_T005z_ClinicalTrials_ProtocolIds_10,9,6379,6360,6430,6537,6537,6282,6537,0.000%,.01614,1.16,0.07
